n	time	type	cur	win	id	str	win_c	id_c	str_c	
0	562	fix	95	1	12	achieving	1	1	Although	
1	682	fix	95	1	12	achieving	1	1	Although	
2	1599	fix	22	1	3	countries	1	3	countries	
3	1739	fix	22	1	3	countries	1	3	countries	
4	1918	fix	14	1	2	developing	1	2	developing	
5	2794	key_ins	0	2	1	S	t2	1	S	
6	3030	key_ins	1	2	1	e	t2	1	e	
7	3176	key_ins	2	2	1	l	t2	1	l	
8	3338	key_ins	3	2	1	v	t2	1	v	
9	3553	fix	3	2	1	Selvom	2	1	Selvom	
10	3620	key_ins	4	2	1	o	t2	1	o	
11	3633	fix	4	2	1	Selvom	2	1	Selvom	
12	3954	key_ins	5	2	1	m	t2	1	m	
13	4090	key_ins	6	2	1	_	t2	1	_	
14	4251	fix	48	1	5	understandably	1	5	understandably	
15	4330	fix	48	1	5	understandably	1	5	understandably	
16	4370	fix	48	1	5	understandably	1	5	understandably	
17	4402	key_ins	7	2	2	u	t2	2	u	
18	4562	key_ins	8	2	2	d	t2	2	d	
19	4781	key_ins	9	2	2	v	t2	2	v	
20	4789	fix	9	2	2	udviklingslandene	2	2	udviklingslandene	
21	4830	key_ins	10	2	2	i	t2	2	i	
22	5041	key_ins	11	2	2	k	t2	2	k	
23	5148	fix	11	2	2	udviklingslandene	2	2	udviklingslandene	
24	5226	key_ins	12	2	2	l	t2	2	l	
25	5247	fix	12	2	2	udviklingslandene	2	2	udviklingslandene	
26	5329	key_ins	13	2	2	i	t2	2	i	
27	5435	key_ins	14	2	2	n	t2	2	n	
28	5846	fix	14	2	2	udviklingslandene	2	2	udviklingslandene	
29	5905	fix	14	2	2	udviklingslandene	2	2	udviklingslandene	
30	5965	fix	14	2	2	udviklingslandene	2	2	udviklingslandene	
31	6025	fix	14	2	2	udviklingslandene	2	2	udviklingslandene	
32	6170	key_ins	15	2	2	g	t2	2	g	
33	6256	key_ins	16	2	2	s	t2	2	s	
34	6384	fix	16	2	2	udviklingslandene	2	2	udviklingslandene	
